id,Name,Mon,Tues,Weds,Thurs,Fri,Sat,Sun,Address_1,Address_2,Address_3,Address_4,Address_5,Postcode,Tel,type,part_of
3639925,The Co-operative Travel - Southwick,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,2 Southwick Square,Southwick,Sussex,,,BN42 4FJ,0844 8798667,travel,The Co-operative Group
3639926,The Co-operative Travel - Southwick,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:00,Closed,2 Southwick Square,Southwick,Sussex,,,BN42 9FJ,01273 594 374,travel,The Co-operative Group
3639927,The Co-operative Travel - West Wickham,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,6 High Street,West Wickham,Kent,,,BR4 3NJ,0844 3357912,travel,The Co-operative Group
3639928,The Co-operative Travel - Belfast Rs,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,1 Rosemary Street,Belfast,,,,BT1 1QA,0844 3357882,travel,The Co-operative Group
3639929,The Co-operative Travel - Belfast Fi,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,129A Upper Lisburn Road,Finaghy,Belfast,,,BT10 0LH,0844 3357874,travel,The Co-operative Group
3639930,The Co-operative Travel - Comber   (Franchise),09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,24 Castle Street,Comber,,,,BT23 5DZ,02891 878887,travel,The Co-operative Group
3639931,The Co-operative Travel - Lisburn Antrim St,09:00  -  17:30,10:00  -  17:30,09:00  -  17:30,09:00  -  17:30,10:00  -  17:30,09:00  -  17:30,Closed,4 Antrim Street,,Lisburn,,,BT28 1AU,0844 335 7443,travel,The Co-operative Group
3639932,The Co-operative Travel - Kilkeel,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,19 The Square,Kilkeel,Co. Down,,,BT34 4AA,0844 3359519,travel,The Co-operative Group
3639933,The Co-operative Travel - Glengormley,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,8 Ballyclare Road,Glengormley,,,,BT36 5EX,0844 3359363,travel,The Co-operative Group
3639934,The Co-operative Travel - Carrickfergus Store,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Co-op Store,Marina Development,Carrickfergus,N. Ireland,,BT38 8BE,0844 3357905,travel,The Co-operative Group
3639935,The Co-operative Travel - Belfast Br   (Franchise),09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,35 Belmont Road,Belfast,,,,BT4 2AA,02890 471717,travel,The Co-operative Group
3639936,The Co-operative Travel - Larne Ms,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,22 Main Street,Larne,Co. Antrim,,,BT40 1SS,0844 3357946,travel,The Co-operative Group
3639937,The Co-operative Travel - Ballymena,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Unit 26,Fairhill Centre,Ballymena,Northern Ireland,,BT43 6UF,0844 3357936,travel,The Co-operative Group
3639938,The Co-operative Travel - Magherafelt,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,12 Queens Street,Magherafelt,Co. Londonderry,,,BT45 6AB,0844 3359683,travel,The Co-operative Group
3639939,The Co-operative Travel - Derry,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,10 Strand Road,Londonderry,,,,BT48 7AP,0844 3359666,travel,The Co-operative Group
3639940,The Co-operative Travel - Omagh,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,2 Market Street,Omagh,,,,BT78 1EH,0844 3357842,travel,The Co-operative Group
3639941,The Co-operative Travel - Whitehaven,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,80 King Street,Whitehaven,Cumbria,,,CA28 7LE,0844 3357900,travel,The Co-operative Group
3639942,The Co-operative Travel - Cardiff Cr,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,120 Cowbridge Road East,Canton,Cardiff,,,CF11 9DX,0844 8798703,travel,The Co-operative Group
3639943,The Co-operative Travel - Whitchurch Wales,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,29 Merthyr Road,Whitchurch,Cardiff,,,CF14 1DA,0844 8798700,travel,The Co-operative Group
3639944,The Co-operative Travel - Cardiff Wr,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,26 Wellfield Road,Cardiff 2,,,,CF24 3PB,0844 3359549,travel,The Co-operative Group
3639945,The Co-operative Travel - Bridgend,09:00 17:30,09:00 17:30,09:00 17:30,09:00 17:30,09:00 17:30,09:00 17:30,Closed,6 Adare Street,,,Bridgend,Bridgend,CF31 1EJ,0844 335 7108,travel,The Co-operative Group
3639946,The Co-operative Travel - Bridgend 19 Adare Street,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,10:00  -  17:30,09:00  -  17:30,Closed,19 Adare Street,,Bridgend,,,CF31 1ET,0844 335 7109,travel,The Co-operative Group
3639947,The Co-operative Travel - Pyle,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Pyle Industrial Estate,Pyle Cross,Off Ffald Street,Near Bridgend,,CF33 6BU,0844 3359582,travel,The Co-operative Group
3639948,The Co-operative Travel - Maesteg,09:00 - 17:00,09:00 - 17:00,10:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,Closed,5 Talbot Street,Maesteg,,,,CF34 9BT,0844 3359631,travel,The Co-operative Group
3639949,The Co-operative Travel - Tonypandy,09:00 - 17:00,10:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,Closed,121A Dunraven Street,Tonypandy,,,,CF40 1AS,0844 3357982,travel,The Co-operative Group
3639950,The Co-operative Travel - Treorchy,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,207 High Street,Treorchy,South Wales,,,CF42 6AS,0844 3357914,travel,The Co-operative Group
3639951,The Co-operative Travel - Merthyr Tydfil,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,36 Victoria Street,Merthyr Tydfil,,,,CF47 8BW,0844 8798780,travel,The Co-operative Group
3639952,The Co-operative Travel - Llantwit Major,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,7 The Precinct,Boverton Road,Llantwit Major,Vale Of Glamorgan,,CF61 1XA,0844 3359438,travel,The Co-operative Group
3639953,The Co-operative Travel - Wallasey,09:30 - 17:30,09:30 - 17:30,10:00 - 17:30,09:30 - 17:30,09:30 - 17:30,09:30 - 17:30,Closed,Unit 57 Cherry Tree Centre,Liscard,Wallasey,Merseyside,,CH44 5TL,0844 3357877,travel,The Co-operative Group
3639954,The Co-operative Travel - West Kirby,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,24 Banks Road,West Kirby,Wirral,,,CH48 0RD,0844 8798619,travel,The Co-operative Group
3639955,The Co-operative Travel - Heswall,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,206 Telegraph Road,Heswall,Wirral,,,CH60 0AL,0844 3357924,travel,The Co-operative Group
3639956,The Co-operative Travel - Bromborough,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,18 The Rake Precinct,Bromborough,Wirral,,,CH62 7AD,0844 3357836,travel,The Co-operative Group
3639957,The Co-operative Travel - Ellesmere Port,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,26 Mercer Walk,The Port Arcade,Ellesmere Port,South Wirral,,CH65 0AP,0844 8798592,travel,The Co-operative Group
3639958,The Co-operative Travel - Epping,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,81 High Street,Epping,Essex,,,CM16 4BB,0844 3357856,travel,The Co-operative Group
3639959,The Co-operative Travel - Manningtree,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Century House,Station Road,Manningtree,Essex,,CO11 1AA,01206 393 111,travel,The Co-operative Group
3639960,The Co-operative Travel - Frinton On Sea,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,106 Connaught Avenue,Frinton On Sea,Essex,,,CO13 9PT,01255 850955,travel,The Co-operative Group
3639961,The Co-operative Travel - Clacton Store,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:00,Closed,Co-op Store,32-34 Station Road,Clacton On Sea,Essex,,CO15 1SX,01255 473 156,travel,The Co-operative Group
3639962,The Co-operative Travel - Clacton Fiveways,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Fiveways Foodstore,Bull Hill Road,Clacton On Sea,Essex,,CO15 3TH,01255 433 040,travel,The Co-operative Group
3639963,The Co-operative Travel - Stanway,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Peartree Road,Stanway,Colchester,Essex,,CO3 5JY,01206 766 677,travel,The Co-operative Group
3639964,The Co-operative Travel - Brightlingsea,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Brightlingsea Fiveways,Samsons Road,Brightlingsea Essex,,,CO7 0RN,01206 305 623,travel,The Co-operative Group
3639965,The Co-operative Travel - Broadstairs T,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,10:00 - 16:00,Tesco Extra,Margate Road,Westwood,Broadstairs,,CT10 2QJ,0844 3357884,travel,The Co-operative Group
3639966,The Co-operative Travel - Folkestone,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,10:00  -  17:30,09:00  -  17:30,Closed,75 Sandbroke Road,,Folkestone,,,CT20 2AF,0844 335 7282,travel,The Co-operative Group
3639967,The Co-operative Travel - Nuneaton,09:00-17:00,10:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,Closed,11 New Century Way,Nuneaton,Warks,,,CV11 5NE,0844 3357796,travel,The Co-operative Group
3639968,The Co-operative Travel - Rugby,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,9 Church Street,Rugby,,,,CV21 3PH,0844 3357989,travel,The Co-operative Group
3639969,The Co-operative Travel,09:00-17:30,10:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:00,Closed,15 Market Place,,,Warwick,,CV34 4SA,0844 3359028,travel,The Co-operative Group
3639970,The Co-operative Travel,09:00-17:00,10:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,Closed,Station Street,,,Atherstone,Warwickshire,CV9 1AA,0844 3357980,travel,The Co-operative Group
3639971,The Co-operative Travel - Crewe,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,10:00- 17:30,09:00 - 17:30,09:00 - 17:00,Closed,64A Market St,Crewe,Cheshire,,,CW1 2HD,0844 3357851,travel,The Co-operative Group
3639972,The Co-operative Travel - Congleton,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,64 High St,Congleton,Cheshire,,,CW12 1BA,0844 3359021,travel,The Co-operative Group
3639973,The Co-operative Travel - Northwich,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,45 High Street,Northwich,Cheshire,,,CW9 5DD,0844 3357849,travel,The Co-operative Group
3639974,The Co-operative Travel - Gravesend,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,10B St Georges Centre,Gravesend,Kent,,,DA11 0TA,0844 3357915,travel,The Co-operative Group
3639975,The Co-operative Travel - Welling,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,91 Welling High Street,Welling,Kent,,,DA16 1TZ,0844 3357941,travel,The Co-operative Group
3639976,The Co-operative Travel,09:00-17:30,10:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,10:30-16:30,11 Exchange Street,,,Derby,,DE1 2DU,0844 3357800,travel,The Co-operative Group
3639977,The Co-operative Travel,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:00,Closed,38 High Street,,,Swadlincote,Derbyshire,DE11 8HY,0844 3357863,travel,The Co-operative Group
3639978,The Co-operative Travel,09:30-17:00,09:30-17:00,10:00-17:00,09:30-17:00,09:30-17:00,09:30-17:00,Closed,17 Station Street,,,Burton On Trent,Derbyshire,DE14 1AU,0844 3357878,travel,The Co-operative Group
3639979,The Co-operative Travel,09:00-17:30,09:00-17:30,10:00-17:30,09:00-17:30,09:00-17:30,09:00-17:00,10:00-16:00,513-515 Nottingham Road,,Chaddesden,Derby,,DE21 6LZ,0844 3357809,travel,The Co-operative Group
3639980,The Co-operative Travel,09:00-17:30,09:00-17:30,09:00-17:30,10:00-17:30,09:00-17:30,09:00-17:00,Closed,"Unit 18, Park Farm Centre",,Allestree,Derby,,DE22 2QN,01332 556713,travel,The Co-operative Group
3639981,The Co-operative Travel,09:00-20:00,10:00-17:30,09:00-20:00,09:00-20:00,09:00-17:30,09:00-17:00,10:00-16:00,493 Burton Road,,Littleover,Derby,,DE23 6FQ,0844 3357996,travel,The Co-operative Group
3639982,The Co-operative Travel,10:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,Closed,Unit 16 Sinfin District Centre,,Sinfin,Derby,,DE24 3DS,0844 3357992,travel,The Co-operative Group
3639983,The Co-operative Travel,09:00-17:00,10:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,Closed,806 Osmaston Road,,Allenton,Derby,,DE24 9AA,0844 3357963,travel,The Co-operative Group
3639984,The Co-operative Travel,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,Closed,5-7 Uttoxeter Road,,Mickleover,Derby,,DE3 0DA,0844 3357919,travel,The Co-operative Group
3639985,The Co-operative Travel,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:00,Closed,45 Oxford Street,,,Ripley,Derbyshire,DE5 3AP,0844 3359740,travel,The Co-operative Group
3639986,The Co-operative Travel,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,10:00-16:00,50-52 High Street,,,Alfreton,Derbyshire,DE55 7BE,0844 3357949,travel,The Co-operative Group
3639987,The Co-operative Travel,09:30-17:00,09:30-17:00,Closed,09:30-17:00,10:00-17:00,09:30-17:00,Closed,29C King Street,,,Belper,Derbyshire,DE56 1PX,0844 3357920,travel,The Co-operative Group
3639988,The Co-operative Travel,09:00-17:30,09:00-17:30,10:00-17:30,09:00-17:30,09:00-17:30,09:00-17:00,10:00-16:00,9 Horse & Jockey Yard,St John's Street,,Ashbourne,Derbyshire,DE6 1GH,0844 3357975,travel,The Co-operative Group
3639989,The Co-operative Travel,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,10:00-16:30,12 South Street,Market Place,,Ilkeston,Derbyshire,DE7 5SG,0844 3357843,travel,The Co-operative Group
3639990,The Co-operative Travel - Ilkeston,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,31 Bath St,Ilkeston,Derbyshire,,,DE7 8BP,0844 3357852,travel,The Co-operative Group
3639991,The Co-operative Travel,09:00-17:30,09:00-17:30,10:00-20:00,09:00-17:30,09:00-17:30,09:00-17:00,10:00-16:30,Station Road,,Castle Donington,Derby,,DE74 2NJ,0844 8798701,travel,The Co-operative Group
3639992,The Co-operative Travel - Darlington Nor,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,10:00 - 16:00,Morrisons Superstore,North Road,Darlington,Co Durham,,DL1 2PY,0844 3357897,travel,The Co-operative Group
3639993,The Co-operative Travel - Richmond,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,25 Market Place,Richmond,N. Yorkshire,,,DL10 4QG,0844 3357875,travel,The Co-operative Group
3639994,The Co-operative Travel - Bishop Auckland,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:00,Closed,95 Newgate Street,Bishop Auckland,Co. Durham,,,DL14 7EW,0844 3357937,travel,The Co-operative Group
3639995,The Co-operative Travel - Northallerton,09:30 - 17:30,Closed,09:30 - 17:30,Closed,09:30 - 17:30,09:00 - 17:00,Closed,162 High Street,Northallerton,,,,DL7 8JZ,0844 8798655,travel,The Co-operative Group
3639996,The Co-operative Travel - Retford,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,53-55 Carolgate,Retford,,,,DN22 6BZ,0844 3357858,travel,The Co-operative Group
3639997,The Co-operative Travel - Haddington,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,67 High Street,Haddington,East Lothian,,,EH41 3ED,0844 8798650,travel,The Co-operative Group
3639998,The Co-operative Travel - Livingston,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,11:00 - 16:00,Unit 53 Almondvale Centre,Livingstone,,,,EH54 6NB,0844 3357994,travel,The Co-operative Group
3639999,The Co-operative Travel - Enfield,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Unity Superstore,654/670 Hertford Road,Enfield,Middlesex,,EN3 5SU,0844 8798726,travel,The Co-operative Group
3640000,The Co-operative Travel - Barnstaple,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,10:00 - 16:00,Tesco,Unit 1 Rose Lane District Centre,Barnstaple,,,EX32 8PG,0844 3357880,travel,The Co-operative Group
3640001,The Co-operative Travel - Falkirk Howgate,09:00  -  17:30,09:00  -  17:30,10:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,12:00 - 16:00,Unit 2 Howgate Cente,,Falkirk,,,FK1 1HG,0844 335 7273,travel,The Co-operative Group
3640002,The Co-operative Travel - Falkirk,09:00 - 17:00,09:00 - 17:00,10:00 - 17:00,09:00 - 17:00,09:00 - 17:00,Closed,Closed,The Carron Centre,1 Ronades Road,New Carron Village,Falkirk,,FK2 7RR,0844 8798610,travel,The Co-operative Group
3640003,The Co-operative Travel - Grangemouth,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,19 La Porte,Precinct Grangemouth,,,,FK3 8AZ,0844 3359302,travel,The Co-operative Group
3640005,The Co-operative Travel - Blackpool,09:30-17:00,10:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,Closed,160 Highfield Road,Blackpool,,,,FY4 2HL,0844 3357869,travel,The Co-operative Group
3640006,The Co-operative Travel - Marton,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,11:00 - 16:00,Asda Superstore,Travel Dept,Cherry Tree Rd,Marton,,FY4 4PF,0844 3357805,travel,The Co-operative Group
3640007,The Co-operative Travel - Cleveleys Vr,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,92 Victoria Road West,Cleveleys,,,,FY5 1AG,0844 3357824,travel,The Co-operative Group
3640008,The Co-operative Travel - Poulton Mp,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,7 Market Place,Poulton-Le-Fylde,Lancs,,,FY6 7AS,0844 3357804,travel,The Co-operative Group
3640009,The Co-operative Travel - Fleetwood,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,117 Lord Street,Fleetwood,,,,FY7 6LB,0844 3357901,travel,The Co-operative Group
3640010,The Co-operative Travel - St Annes,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,The Square,34 St Annes Road West,St Annes,,,FY8 1RR,0844 3357911,travel,The Co-operative Group
3640011,The Co-operative Travel - Lytham,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,38 Clifton Street,Lytham St Annes,Lancs,,,FY8 5EW,0844 3357904,travel,The Co-operative Group
3640012,The Co-operative Travel - Tewkesbury,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,101 High Street,Tewkesbury,Gloucestershire,,,GL20 5JZ,0844 3357993,travel,The Co-operative Group
3640013,The Co-operative Travel - Huddersfield Ccs,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,10 Cross Church Street,Huddersfield,,,,HD1 2PT,0844 3357957,travel,The Co-operative Group
3640014,The Co-operative Travel - Brighouse,09:30 - 17:00,10:30 - 17:00,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00,Closed,21 Commercial Street,Brighouse,Huddersfield,,,HD6 1AF,0844 3357890,travel,The Co-operative Group
3640015,The Co-operative Travel - Holmfirth Vs,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,23 Victoria Street,Holmfirth,,,,HD9 7DF,0844 3357832,travel,The Co-operative Group
3640016,The Co-operative Travel - Harrogate,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,5 Albert Street,Harrogate,,,,HG1 1JU,0844 879 8771,travel,The Co-operative Group
3640017,The Co-operative Travel - Anlaby,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,29 Hull Road,Anlaby,Hull,,,HU10 6SP,0844 3359962,travel,The Co-operative Group
3640018,The Co-operative Travel - Hedon,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,10 Market Place,Hedon,,,,HU12 8JA,0844 3357823,travel,The Co-operative Group
3640019,The Co-operative Travel - Beverley,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,9 Butchers Row,Beverley,Yorkshire,,,HU17 0AA,0844 3359994,travel,The Co-operative Group
3640020,The Co-operative Travel - Bransholme,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,North Point Shopping Centre,42 Goodhart Road,Bransholme,,,HU7 4EE,0844 3357835,travel,The Co-operative Group
3640021,The Co-operative Travel - Hull Store,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,Morrisons Store,Holderness Road,Hull,,,HU9 3JA,0844 3357798,travel,The Co-operative Group
3640022,The Co-operative Travel - Halifax,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:00,Closed,1 Princess Street,Halifax,,,,HX1 1TS,0844 3357953,travel,The Co-operative Group
3640023,The Co-operative Travel - Loughton,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,224 High Road,Loughton,Essex,,,IG10 1ET,0844 8798656,travel,The Co-operative Group
3640024,The Co-operative Travel - Ipswich Store,09:00 - 17:00,10:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,10:00 - 16:00,Sproughton Road,Ipswich,Suffolk,,,IP1 5AF,0844 3357985,travel,The Co-operative Group
3640025,The Co-operative Travel - Thetford,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,40 King Street,Thetford,Norfolk,,,IP24 2AP,01842 766484,travel,The Co-operative Group
3640026,The Co-operative Travel - Surbiton,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,Closed,8 St. James Road,Surbiton,Surrey,,,KT6 4QJ,0844 8798673,travel,The Co-operative Group
3640027,The Co-operative Travel - Dunfermline 6 Kingsgate,09:00  -  17:30,10:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,09:00  -  17:30,12:00 - 16:00,Unit 6 Kingsgate Centre,,Dunfermline,,,KY12 7QA,0844 335 7239,travel,The Co-operative Group
3640028,The Co-operative Travel - Old Swan,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,533 Prescot Road,Old Swan,Liverpool,,,L13 5UR,0844 3357990,travel,The Co-operative Group
3640029,The Co-operative Travel - Wise Allerton,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,66 Allerton Road,Allerton,Liverpool,,,L18 1NA,0844 8798632,travel,The Co-operative Group
3640030,The Co-operative Travel - Bootle,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,Closed,80 Mariners Way,New Strand,Bootle,,,L20 4ST,0844 3359938,travel,The Co-operative Group
